--------------------MobilerakerCompanion Log Start--------------------
Git Version: v0.4.0-21-g7bb9f8f
2024-03-12 20:59:04,539 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=597.3294929340009)
2024-03-12 20:59:04,789 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=597.5798411720007)
2024-03-12 20:59:05,040 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=597.8301874139997)
2024-03-12 20:59:05,291 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=598.0812054950002)
2024-03-12 20:59:05,541 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=598.3315340520003)
2024-03-12 20:59:05,792 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=598.5825928009999)
2024-03-12 20:59:06,043 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=598.8334154250006)
2024-03-12 20:59:06,293 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=599.0839547739997)
2024-03-12 20:59:06,543 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=599.3343324390007)
2024-03-12 20:59:06,794 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=599.5853564730005)
2024-03-12 20:59:07,045 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=599.835940115001)
2024-03-12 20:59:07,296 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=600.0867770820005)
2024-03-12 20:59:07,546 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=600.3370313970008)
2024-03-12 20:59:07,797 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=600.5880316559997)
2024-03-12 20:59:08,048 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=600.8387060870009)
2024-03-12 20:59:08,298 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=601.0893718040006)
2024-03-12 20:59:08,549 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=601.3398271839997)
2024-03-12 20:59:08,800 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=601.5908348499997)
2024-03-12 20:59:09,051 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=601.8413396689994)
2024-03-12 20:59:09,301 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=602.0921150739996)
